iter	Passed	Remaining
0	153	15322501
1	289	14469881
2	439	14647787
3	585	14633517
4	755	15114488
5	912	15213550
6	1072	15320452
7	1226	15335481
8	1394	15495932
9	1526	15267855
10	1657	15069931
11	1810	15085720
12	1954	15030166
13	2110	15072875
14	2269	15130949
15	2415	15093969
16	2565	15085773
17	2721	15117805
18	2880	15155585
19	3045	15226154
20	3209	15279112
21	3366	15298509
22	3521	15308398
23	3655	15226609
24	3819	15272734
25	3959	15223147
26	4118	15248690
27	4262	15219868
28	4428	15267409
29	4588	15290260
30	4739	15283833
31	4898	15301640
32	5059	15326534
33	5215	15335493
34	5361	15313516
35	5507	15294396
36	5656	15281021
37	5820	15312317
38	5966	15292089
39	6123	15301401
40	6290	15336588
41	6436	15318112
42	6582	15301472
43	6748	15330622
44	6927	15386811
45	7088	15401920
46	7227	15369707
47	7392	15393402
48	7562	15425779
49	7725	15442585
50	7884	15452073
51	8076	15523833
52	8238	15535873
53	8402	15551533
54	8550	15537750
55	8707	15540839
56	8840	15500731
57	8972	15460495
58	9152	15504096
59	9326	15534148
60	9494	15555055
61	9654	15562076
62	9824	15584065
63	9982	15588398
64	10124	15566435
65	10291	15582669
66	10463	15606140
67	10621	15609737
68	10764	15589515
69	10922	15592734
70	11063	15571733
71	11221	15573733
72	11409	15618218
73	11565	15617626
74	11710	15602615
75	11859	15592464
76	11997	15568900
77	12177	15600492
78	12333	15599820
79	12480	15588582
80	12639	15591864
81	12820	15621770
82	12989	15637151
83	13137	15626595
84	13280	15611344
85	13438	15612438
86	13579	15595374
87	13723	15581105
88	13874	15575024
89	14026	15570927
90	14192	15581430
91	14377	15613460
92	14536	15615712
93	14710	15635167
94	14870	15638696
95	15011	15621649
96	15161	15615313
97	15325	15623362
98	15467	15608681
99	15634	15618468
100	15802	15629956
101	15943	15615300
102	16098	15613689
103	16246	15605718
104	16392	15595322
105	16548	15595613
106	16694	15585596
107	16858	15592850
108	17031	15608462
109	17195	15614941
110	17374	15634933
111	17515	15621283
112	17686	15633670
113	17836	15628328
114	18000	15634931
115	18151	15630095
116	18315	15636309
117	18465	15630117
118	18607	15618208
119	18814	15659949
120	18982	15669079
121	19133	15664387
122	19307	15677739
123	19454	15669393
124	19623	15679487
125	19793	15689468
126	19967	15702527
127	20154	15725759
128	20351	15756248
129	20508	15755046
130	20666	15755520
131	20807	15742684
132	20952	15732980
133	21120	15740129
134	21277	15739599
135	21442	15744861
136	21601	15745845
137	21746	15736935
138	21912	15742183
139	22081	15750317
140	22289	15786030
141	22445	15783924
142	22626	15800310
143	22827	15829296
144	22978	15824327
145	23135	15823373
146	23292	15821696
147	23475	15838364
148	23624	15831433
149	23776	15827200
150	23935	15827331
151	24089	15824542
152	24267	15836952
153	24462	15860470
154	24625	15862993
155	24795	15869552
156	24955	15870366
157	25127	15878038
158	25275	15871475
159	25476	15897403
160	25628	15892854
161	25804	15902929
162	25973	15908617
163	26132	15908545
164	26307	15917552
165	26446	15905074
166	26592	15896916
167	26756	15899795
168	26905	15893262
169	27054	15887261
170	27214	15887798
171	27389	15896831
172	27570	15909017
173	27714	15900300
174	27863	15894162
175	28008	15886185
176	28153	15877953
177	28326	15885264
178	28504	15895844
179	28682	15906045
180	28852	15911987
181	29037	15925548
182	29184	15918902
183	29307	15898740
184	29471	15900832
185	29622	15896409
186	29782	15896895
187	29972	15912593
188	30145	15919652
189	30291	15912451
190	30456	15915292
191	30617	15915908
192	30774	15914622
193	30918	15906417
194	31076	15905773
195	31222	15898772
196	31421	15918759
197	31574	15914979
198	31739	15917958
199	31884	15910482
200	32027	15902002
201	32205	15911348
202	32362	15909656
203	32518	15907977
204	32669	15903472
205	32883	15929770
206	33050	15933546
207	33228	15941911
208	33405	15950317
209	33604	15968326
210	33786	15978592
211	33961	15985534
212	34147	15997688
213	34335	16010344
214	34502	16013346
215	34710	16035001
216	34877	16037537
217	35058	16046896
218	35249	16060503
219	35408	16059202
220	35572	16060484
221	35716	16052933
222	35876	16052247
223	36034	16051009
224	36217	16060341
225	36377	16059811
226	36540	16060668
227	36701	16060437
228	36869	16063530
229	37019	16058505
230	37196	16065248
231	37370	16070509
232	37540	16074476
233	37701	16074037
234	37877	16080057
235	38041	16081309
236	38194	16077713
237	38344	16072777
238	38501	16071089
239	38684	16080029
240	38834	16074942
241	38977	16067546
242	39149	16071662
243	39306	16069881
244	39455	16064752
245	39644	16075918
246	39798	16072765
247	39965	16075069
248	40116	16071099
249	40303	16080971
250	40457	16077929
251	40619	16078102
252	40759	16069799
253	40930	16073419
254	41077	16067839
255	41234	16066146
256	41377	16058935
257	41521	16052109
258	41694	16056529
259	41839	16050284
260	41979	16042141
261	42154	16047278
262	42333	16053995
263	42492	16053266
264	42651	16052357
265	42821	16055421
266	42993	16059603
267	43147	16056806
268	43297	16052588
269	43486	16062784
270	43676	16072958
271	43829	16070053
272	44001	16073873
273	44144	16066990
274	44335	16077839
275	44493	16076478
276	44695	16091034
277	44860	16092149
278	45005	16086036
279	45165	16085280
280	45324	16084408
281	45476	16080978
282	45667	16091118
283	45872	16106340
284	46045	16110107
285	46195	16106154
286	46340	16100227
287	46489	16095798
288	46640	16091872
289	46789	16087362
290	46997	16103486
291	47142	16097660
292	47281	16089896
293	47440	16088841
294	47588	16084047
295	47758	16086799
296	47920	16086904
297	48063	16080699
298	48232	16082920
299	48416	16090573
300	48588	16093648
301	48759	16096771
302	48922	16097252
303	49078	16095265
304	49265	16103512
305	49473	16118199
306	49635	16118190
307	49828	16128315
308	50007	16133654
309	50147	16126398
310	50297	16122377
311	50496	16134135
312	50687	16143448
313	50875	16151595
314	51041	16152602
315	51201	16151776
316	51364	16151910
317	51516	16148631
318	51708	16157884
319	51853	16152410
320	52003	16148351
321	52174	16151096
322	52323	16146990
323	52477	16144165
324	52631	16141650
325	52789	16140292
326	52957	16141958
327	53137	16147420
328	53302	16148090
329	53478	16152173
330	53649	16154736
331	53830	16160276
332	53977	16155552
333	54122	16150334
334	54297	16153938
335	54496	16164559
336	54670	16167910
337	54815	16162847
338	54989	16166124
339	55133	16160588
340	55297	16161049
341	55467	16163085
342	55613	16158249
343	55768	16156078
344	55908	16149396
345	56092	16155664
346	56239	16151092
347	56408	16152944
348	56588	16158020
349	56786	16167889
350	56963	16171961
351	57139	16175634
352	57304	16176184
353	57459	16173904
354	57621	16173766
355	57774	16171112
356	57936	16170878
357	58097	16170191
358	58254	16168675
359	58416	16168296
360	58569	16165638
361	58735	16166589
362	58918	16172111
363	59065	16167606
364	59243	16171731
365	59391	16167704
366	59555	16168218
367	59699	16162900
368	59871	16165373
369	60021	16161912
370	60209	16168735
371	60373	16168950
372	60555	16174089
373	60724	16175670
374	60922	16185013
375	61115	16193036
376	61293	16196845
377	61441	16193032
378	61590	16189292
379	61788	16198290
380	61983	16206669
381	62155	16208874
382	62314	16207807
383	62498	16213043
384	62666	16214377
385	62818	16211413
386	62984	16212149
387	63124	16206071
388	63284	16205274
389	63448	16205433
390	63616	16206509
391	63804	16212905
392	63962	16211584
393	64132	16213261
394	64305	16215456
395	64494	16221888
396	64633	16215937
397	64806	16218197
398	64950	16213491
399	65150	16222503
400	65297	16218448
401	65479	16222974
402	65631	16220029
403	65812	16224512
404	66043	16241074
405	66193	16237571
406	66342	16234135
