,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
02,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,6,7,7
03,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,5,5,5,4,4,3,3,1,2
04,2,3,2,2,1,1,6,3,1,1,1,1,2,3,7,7,7,7,5,6,3,0,0,0
05,1,3,4,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,7,6,7,4
06,3,4,4,3,6,7,7,7,8,7,7,7,6,5,4,3,3,4,4,3,2,2,0,3
07,6,7,5,5,5,4,7,7,7,7,7,8,8,8,8,8,8,7,8,8,7,7,6,7
08,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,2,1,1,0,0
09,0,0,0,0,0,0,2,2,0,0,1,1,1,2,3,2,1,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0
12,0,0,0,0,0,0,1,1,1,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0
13,4,4,2,0,0,0,1,1,0,0,2,2,2,2,3,3,4,3,4,3,2,3,2,4
14,3,4,4,4,6,4,4,4,3,3,4,3,3,4,4,4,6,5,4,4,4,3,3,4
15,4,4,3,4,3,3,5,6,7,7,8,8,8,8,8,8,8,7,7,8,8,8,8,8
16,8,5,5,4,4,4,4,4,4,4,4,3,2,0,0,0,0,0,0,0,2,4,4,5
17,5,5,5,5,6,7,7,7,7,7,7,7,6,5,5,6,7,7,7,7,7,7,7,7
18,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
19,8,8,8,8,8,8,8,7,8,7,6,5,3,2,3,4,4,3,3,3,4,4,4,4
20,4,4,6,5,5,5,1,0,0,2,6,5,6,6,7,7,7,2,1,0,0,0,3,4
21,4,4,4,1,6,4,3,4,3,2,2,1,3,3,3,2,2,3,3,1,1,5,3,4
22,5,6,6,7,6,3,4,3,3,4,4,6,5,4,4,4,7,7,7,8,8,7,7,7
23,7,5,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
24,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,5,4,6,7,4,0,2,2,2
25,2,1,3,3,2,2,0,4,0,0,1,3,3,7,2,4,5,7,7,7,7,7,7,8
26,7,7,7,7,7,7,7,7,7,7,6,6,5,6,6,7,8,8,8,7,7,7,7,7
27,7,7,7,6,6,5,6,6,6,6,6,3,4,4,5,6,6,6,6,6,5,3,3,3
28,2,1,2,2,2,4,2,3,5,5,5,4,3,3,4,4,5,6,6,5,5,5,5,5
29,6,5,4,4,4,1,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,1
30,1,5,6,6,5,5,5,3,3,3,2,2,1,1,1,1,2,2,2,0,0,0,0,1
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
